ss_item_sk,ss_store_sk,ss_customer_sk,ss_sold_date_sk,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_net_profit
375,26,115,604,18,49.85,107.33676453753205,770.0627092920715,877.13
373,33,6,679,15,52.61,79.46977486480787,783.4681623504028,717.38
144,29,82,184,20,70.0,135.53851016858798,1278.4275092529933,1366.01
368,3,113,500,5,74.91,112.46050125223105,319.4429914921849,355.2
930,24,199,481,8,9.07,21.706981822071228,70.84108235289082,66.8
721,34,325,281,2,98.16,224.32838014746912,167.3948421482994,183.05
388,24,301,670,18,59.17,140.09648964786615,868.6283153818205,998.67
529,26,181,354,9,40.75,74.69149128266444,328.7627750804578,363.35
451,11,118,79,20,5.63,10.521927578133406,96.40383012803916,111.27
735,8,339,236,5,22.76,39.57958971459401,98.55591565693184,106.54
216,38,83,663,4,50.74,115.85842189222375,163.27912958075902,192.38
138,41,263,41,2,17.15,40.44033408540296,28.447494586583645,32.9
982,26,307,578,6,29.53,59.91369808868918,172.8748443199238,162.65
622,31,445,494,10,94.99,135.0507804545356,917.6724719223192,875.48
786,12,320,676,20,18.56,34.59670083128181,309.4116591263088,355.71
71,15,194,395,11,92.62,127.06326237346599,818.4308671837401,977.71
430,10,311,99,17,86.66,123.98002844082168,1444.2294518912126,1400.2
516,49,61,96,20,8.71,15.912414108278622,143.90065681267643,170.43
961,50,348,665,20,56.23,99.01798642773858,994.3002497785187,1012.27
961,31,405,391,2,71.28,118.01638269608878,136.9893550609546,134.42
489,50,120,86,19,14.28,22.394562424918256,264.63284721911714,247.82
762,1,296,536,14,29.49,39.90519519082539,330.8820272989494,371.8
371,7,80,437,7,70.34,143.98940662796363,418.88073634842084,458.7
283,44,204,209,18,45.24,78.59077444570062,779.1069167403497,762.66
496,17,158,592,16,21.98,36.21563703663523,330.96566874625427,336.17
766,15,229,717,5,86.22,209.8610950678063,353.5260224051072,416.41
564,40,357,701,17,43.05,91.21549863016705,609.007222396829,683.43
483,39,223,91,1,81.42,104.48665998486605,68.74730666338414,79.98
954,26,315,672,3,62.86,118.00753098089763,177.70292554873592,183.38
180,41,254,450,20,10.46,12.697639983511083,202.94774990353017,204.46
614,33,265,716,17,32.17,48.29271175422415,456.0496997407335,494.04
1000,11,45,283,2,39.18,86.72785841778483,68.2222167401235,75.66
16,48,361,71,13,43.52,104.2273817766698,514.7955079340863,520.52
987,18,116,621,18,91.93,225.40999568152807,1474.2935843976063,1546.87
417,33,55,573,13,59.62,77.1543470316427,665.6605638144522,717.79
898,35,417,589,4,81.28,123.96695057874238,288.8865880839884,323.71
776,22,493,470,13,58.5,122.03527490077755,744.7612734396481,743.01
392,41,404,226,1,50.79,105.64253307065034,42.96763034778863,47.02
549,1,359,270,11,44.18,67.27442753610156,397.8241445740347,454.54
488,21,182,224,11,12.22,28.871107993096103,114.7698333358912,133.5
754,16,447,272,7,52.4,76.96576043377532,308.31495475270776,337.44
798,7,62,81,8,84.45,175.53403412956948,630.1218614626592,632.09
981,3,435,494,20,5.63,9.472787442473063,97.18318872248757,110.99
783,33,144,408,19,87.53,130.3077156938689,1522.2629142917574,1578.39
963,35,17,515,2,54.94,90.7320722198043,106.81215326782299,103.54
531,30,162,706,6,48.43,58.646026940838794,271.640173460812,265.02
628,17,96,562,13,60.2,92.8105654513725,668.2477760852499,729.81
435,14,215,718,20,37.59,81.86555036917072,656.3331260092294,690.45
135,37,352,235,13,31.56,71.27661456839334,387.3712333377521,376.63
201,10,410,154,8,57.76,104.82764969778079,370.56434357405703,455.44
870,41,265,547,14,52.46,112.09277335292076,702.9079844050905,734.11
49,26,51,708,10,28.84,40.73201377590659,243.14815530345606,284.32
461,48,172,267,9,50.27,83.91322903797325,412.6478332502035,435.68
360,44,494,621,9,37.69,54.97635054687487,310.4378317839069,319.26
364,21,345,523,18,21.58,39.57214950271456,367.97124468804225,379.91
647,10,445,172,3,41.2,83.74949975923695,121.83416800752461,114.78
870,5,41,166,14,64.97,106.98695230796571,784.6914030435474,870.62
405,18,455,456,10,72.49,160.58465031752206,716.0228506723913,696.29
172,12,438,24,19,54.49,74.24545215652297,876.8303756681063,978.4
82,14,86,407,9,94.34,125.84126829456461,690.0807149593742,823.65
407,34,392,86,16,57.1,76.23460543052727,843.8196288100759,824.65
317,15,127,291,3,67.21,119.37225597201657,166.40167850403398,199.32
680,23,441,334,17,84.66,196.70865156752345,1285.854839098413,1299.41
139,45,277,182,18,93.81,184.62560398910333,1505.0460177930208,1612.35
547,20,466,356,19,46.32,84.58713772559655,744.0422403130043,848.38
267,10,156,11,3,46.98,56.38163996372383,135.7359254968671,132.0
9,45,473,504,5,37.67,91.57745631369392,168.6511165439064,178.35
612,15,408,8,1,77.76,148.72967444261099,65.14065587046234,76.19
733,48,331,400,18,46.53,105.94671207088605,706.9829961334116,774.72
783,40,414,711,3,45.11,94.2813605486675,115.96906374859167,125.04
874,5,94,140,18,81.84,129.01862308219845,1366.1398776579722,1386.63
504,13,165,20,20,48.01,67.10809458029036,954.3843024335487,931.44
276,9,367,449,1,22.66,48.611120081243484,19.18309717673639,20.63
431,20,403,511,5,6.4,15.983055872097788,28.567580590101947,29.5
975,10,29,273,2,36.37,80.3176452713988,59.23050453920928,71.6
257,25,425,13,16,22.25,30.22773801267342,339.4919717646047,352.29
254,48,18,204,8,41.56,74.76997367665186,317.2521478741764,331.65
399,44,493,320,17,68.27,165.01403935460135,965.2885693955744,1068.72
126,17,247,654,2,75.75,120.32561842310659,132.1209276787329,144.68
116,16,325,445,2,87.05,141.18356882765988,145.10748761013653,160.48
249,1,497,44,9,60.55,118.39947784398684,511.2449966730903,512.02
255,11,256,94,20,19.72,41.24887688731833,342.21473499167973,385.36
719,35,406,110,2,10.68,14.562988422224004,18.081986023017105,20.6
825,29,376,198,18,79.91,98.11019631774244,1259.3790565597726,1403.38
724,29,287,302,5,28.82,54.91807492160214,129.40445131949588,130.26
750,30,141,614,19,22.73,54.29779228444929,393.39213727028294,403.7
840,17,278,376,3,55.46,99.29018628530127,158.92344428472933,157.22
20,40,439,373,17,41.01,90.5837712790115,591.0309649582927,640.39
397,13,269,700,3,67.54,124.73381130852539,184.44368142096718,193.28
330,8,50,536,20,31.9,65.604211020434,515.985978813251,600.35
110,32,99,102,5,21.97,27.27272961829363,101.97928414876387,99.21
719,38,132,51,13,67.5,113.14756526327449,808.344861052795,835.89
672,32,476,82,3,6.24,11.284895771517409,17.368104186320764,18.57
426,24,407,726,12,58.01,74.00857974363406,642.7879252987498,691.82
312,5,484,222,17,8.86,21.696038133944803,123.42162029174943,136.62
539,43,128,584,8,55.51,111.73733183854583,371.1529951429139,408.09
654,37,184,691,18,44.44,79.82920606577204,746.3641328860906,728.37
412,33,173,674,4,20.85,29.30737283715138,83.37387198184874,76.56
564,21,433,381,15,93.68,162.6328154329168,1302.1260006670093,1391.5
220,25,393,564,11,62.8,150.97063476046455,587.7449538116066,660.62
744,3,146,611,15,47.51,58.018888089478814,589.3737661527917,669.68
220,21,12,707,10,5.62,12.751997468904726,55.290819812589696,56.11
159,7,20,472,17,57.85,96.16709092583534,813.9835075748751,976.16
263,20,48,585,12,89.51,153.93372358761806,1056.479040521672,993.55
178,32,423,707,3,73.74,155.8644048960268,213.23463337742024,216.64
749,37,196,81,4,61.55,136.28145446929824,242.35295248865478,228.98
427,8,446,233,11,38.05,82.64392478182704,405.9498173857381,410.9
56,20,269,43,1,65.22,105.33757217832267,59.54472378923835,62.82
52,44,375,403,11,52.73,129.83983773670755,551.3579805904396,534.83
297,26,76,136,19,52.95,86.68013653544331,900.5867150112954,927.79
409,33,223,715,2,57.07,78.15666460064786,94.3908297943361,105.72
586,13,288,631,18,23.82,59.459541097050064,387.9632958258098,402.83
332,44,474,590,8,11.81,15.547546632689766,88.27734176998621,92.37
353,39,336,25,14,39.7,87.36325148337858,463.45441514750866,510.81
453,40,75,452,12,63.54,79.95497546203329,734.7519451324213,761.73
746,6,58,56,7,70.11,106.28415210916341,453.56987374986875,449.35
15,22,356,114,5,87.53,139.75507779761446,391.3632872857983,429.78
209,35,268,265,11,24.86,47.56812017138633,252.84341267336143,260.83
386,38,464,680,5,71.03,133.8801012205041,302.265064154251,343.37
633,18,28,477,2,31.98,65.5969037628529,51.274610769777894,62.61
935,43,185,111,13,67.74,82.968075362293,857.2677968373025,850.94
727,7,463,324,13,26.96,49.33843909748384,322.2387708146295,328.77
469,36,475,730,3,22.71,27.886403751862122,57.87496529623011,64.73
763,11,10,356,17,33.97,70.98387376105661,503.0374636337081,548.03
514,18,416,64,10,27.44,55.25126519846871,267.74180880761094,273.8
231,10,175,403,1,94.69,194.49432873142047,77.41466203454623,94.21
894,41,352,233,13,54.47,94.91579088914536,647.6230388672698,685.31
338,29,278,135,14,97.2,142.76584922616513,1126.3549875334897,1348.52
142,20,353,723,18,69.98,165.72916372296723,1236.8563157667063,1159.16
149,42,478,579,14,99.59,238.24375492722535,1203.9424533856964,1390.88
189,21,430,150,18,55.63,119.3376647658438,954.3641390972055,973.25
764,41,478,281,14,96.31,134.5974792536545,1129.3516786473754,1254.41
627,40,137,621,5,22.55,43.68286826950604,95.40705091392944,110.07
82,45,400,489,8,26.94,37.02398186937281,208.88794252289458,194.53
873,25,252,486,16,72.64,100.15360139616335,974.7148608426209,1089.48
948,18,487,423,2,43.82,65.26202326239391,81.87923151870021,87.37
950,29,444,632,7,76.99,141.4249148832568,466.1632000307008,488.6
795,3,312,390,15,89.32,190.81084927144946,1177.4566239036533,1263.1
897,46,403,40,19,61.41,115.25697889966553,1038.818711301471,1111.39
551,26,377,41,2,88.39,170.15174304020942,159.6721750074997,163.45
906,20,397,293,2,23.04,41.46627025504862,40.75741147346327,43.5
926,10,238,662,20,92.31,164.97712563382214,1743.7901012908137,1788.96
916,45,280,139,4,22.08,37.77858698176448,76.369613910887,84.66
730,13,452,466,1,21.99,28.96596597728209,19.017280883030395,21.09
117,46,231,650,6,73.25,122.46128423249955,397.6435412032145,400.98
627,11,194,564,13,74.05,125.49913374652428,918.0331601382082,960.26
154,11,445,149,11,58.72,84.11797334809864,608.7211426742412,623.93
985,29,148,642,14,34.27,49.174188670658666,470.0444878438192,466.83
13,30,255,511,7,5.34,10.180985049973051,29.946991103569324,36.5
488,30,210,453,16,27.6,35.96904843517877,406.2810178513865,423.44
644,36,420,213,8,88.81,112.21982220982261,589.4506084736613,659.19
684,37,430,618,12,8.49,13.481899350289053,100.25775861194008,100.39
166,44,146,626,2,15.34,31.58815859609965,28.838260063132118,30.66
467,48,297,369,19,79.79,192.36760722545222,1241.0440767201364,1391.31
840,5,389,438,10,35.67,81.90911085665148,289.99181131758314,353.04
282,22,270,424,16,17.78,33.46267248069022,267.1739150809509,275.79
645,34,45,496,20,10.53,22.54785087332121,193.9532502479517,201.57
266,34,295,639,10,45.57,75.6466259740714,376.38205535669914,448.76
510,32,414,185,19,52.16,122.51146689613599,838.9592907197448,964.2
25,30,321,121,10,98.03,211.6182323211146,824.8892837752594,882.42
342,23,287,653,20,99.9,147.45632743207497,1854.391077026683,1880.93
308,33,282,332,10,29.17,64.09064326195049,240.00123675042144,264.51
631,2,427,180,11,37.43,54.35660410225779,398.04617816792245,400.38
662,9,247,160,16,92.04,185.4937927552004,1440.8481548727812,1442.78
834,27,476,58,18,90.11,205.95879122822046,1394.689914034822,1534.79
592,44,170,363,11,57.74,74.25808330737884,527.0779036162963,572.81
548,11,293,621,1,37.22,63.51355372859922,34.206608258171315,34.89
33,18,212,89,10,72.0,132.92429505953015,610.2204834633175,670.64
538,20,90,115,15,83.8,141.3270573426172,1015.0011120642462,1169.34
26,31,464,513,7,91.77,128.50563289697052,557.6094111448303,606.66
795,21,74,101,16,74.58,169.2056178705792,1178.4890191620402,1136.44
397,46,443,535,5,24.49,33.07587032009546,105.57593247415826,110.65
90,22,240,48,2,70.27,93.74254657405832,133.96779263781553,134.84
655,14,165,206,10,7.14,10.355208626984941,61.07055541217996,69.68
280,10,81,281,11,78.41,105.75929133141905,855.3163309988174,834.14
359,36,164,278,18,53.84,74.51584556077346,911.8166508001914,892.23
319,40,457,347,10,59.54,113.28974885153185,482.3604739583225,546.06
109,25,28,89,1,49.72,87.22903990739532,41.55580688487972,48.11
707,45,229,632,20,89.67,149.05948179074016,1553.9208760619172,1726.95
547,6,499,477,7,72.73,140.95991073920663,416.74891070249765,492.35
660,46,393,477,15,14.24,25.798745233782554,211.35499010295047,198.87
935,24,201,188,5,86.8,183.1045138429412,404.93767768943655,417.38
487,8,180,491,11,48.06,86.48945791451473,440.9871889350388,477.39
106,26,419,110,12,62.42,101.34702497247858,696.5250172470882,683.68
424,16,318,250,10,55.61,106.34487830615083,553.1962383463211,522.78
711,38,221,446,13,11.28,21.85358495236456,127.34806607820006,135.03
758,46,294,499,8,21.44,28.914406767314453,157.66377373128842,165.85
181,20,490,416,11,57.73,74.49998338631356,521.8352209648319,623.73
507,42,339,63,20,78.28,103.14900070375981,1508.3095576761484,1468.36
1,49,76,677,19,90.81,126.58744742021702,1563.6366962250274,1662.61
211,44,450,325,13,63.48,100.91135872728742,791.2973274949381,779.62
736,23,46,597,10,92.26,111.68580689551663,920.0945225794867,916.76
64,24,462,563,13,85.53,210.25577935353797,889.6995345043578,1095.49
882,19,444,32,18,82.97,124.93734788739879,1404.516058458993,1397.77
416,25,223,559,13,64.4,94.96300977336956,698.795788192693,813.07
947,24,431,428,5,22.88,32.04452630034296,114.34179426407957,107.36
17,10,370,499,5,17.76,36.50221157600985,88.35555648078224,80.56
426,30,458,713,5,13.04,25.894289099236072,57.71118238901465,62.87
840,29,197,364,6,48.17,71.94012205183074,255.76951243912242,272.38
243,46,257,276,1,59.9,103.8719405500708,54.463071799164275,58.98
495,46,189,116,12,8.18,15.986578222413515,97.40883550122263,88.72
880,49,399,287,3,18.5,33.38171867193756,45.268404081532815,54.01
760,43,492,685,20,13.4,17.44018701833911,248.36565879658588,253.86
352,35,399,12,19,34.69,62.77257673994902,594.8682765379249,596.68
362,19,149,172,16,59.53,74.16986240089173,937.7859988517118,888.81
63,41,243,593,10,74.06,105.15061116060477,600.1259373352983,708.29
294,32,43,130,10,81.85,152.0179540108407,794.1815884158162,787.75
282,17,8,115,9,28.94,57.44497396620603,255.7785695082731,250.45
180,17,401,718,5,67.62,101.90703509824907,282.70631748626784,316.79
87,10,305,158,17,86.89,198.88238940398267,1404.0892588921117,1380.06
451,47,327,172,14,78.18,115.24621467150595,1036.3705846290634,1011.11
840,8,27,172,12,10.16,18.32070916946695,109.14843968192143,112.95
546,15,195,700,16,75.88,160.65997627519153,1086.501943642807,1184.02
296,29,196,695,5,55.39,89.1997907982815,250.93073709319918,261.29
363,28,313,668,2,14.25,33.00103884599909,24.709314217722856,27.16
599,26,237,692,9,81.22,176.5575130090294,692.137689978239,676.55
694,45,93,321,19,78.2,149.51029238235472,1388.5698006403354,1414.47
107,44,229,360,3,6.14,9.119381111956764,15.779666218340287,16.76
59,39,337,223,7,8.23,20.045281374997046,53.43999100280751,55.42
385,43,392,664,4,13.21,25.573099576036295,52.493005096499886,50.75
479,43,480,78,4,71.09,144.34217819337482,279.96353226811965,263.13
684,50,395,332,9,78.09,119.83203915228921,671.9891527911066,681.18
341,4,133,272,9,78.83,112.83003586103519,577.4232281108527,665.68
504,7,74,554,7,62.98,138.51314338845353,371.94357431908423,404.64
106,3,38,73,4,91.7,178.14998497911287,311.823748255209,356.36
669,41,1,39,15,6.78,13.993835842905375,86.77931802588475,96.59
528,46,482,503,11,90.94,165.65459923036104,881.08201640808,957.79
978,45,419,494,3,56.31,76.44447081218625,153.22978352814417,152.09
57,41,491,663,12,36.68,48.339364027452504,399.19222213877293,409.47
785,19,332,208,11,12.64,18.07019197969989,112.32572152561399,131.53
400,7,323,706,13,67.77,112.9752640652988,719.7609395243115,819.24
198,2,369,608,15,74.86,113.04089601101825,985.6294126675047,1026.32
989,29,495,17,18,66.12,82.52804059609466,965.4707535773803,1130.61
670,43,268,470,2,43.52,105.41051993723907,84.78044211473345,80.18
948,5,19,145,18,19.15,35.151033888251604,277.07420369376155,330.2
134,1,89,648,20,9.35,11.82723945823439,161.09441632550693,181.41
606,5,419,109,4,48.34,65.18327957406261,177.69696628935415,177.32
437,22,416,695,20,25.95,44.701760471821316,427.73929322729686,508.85
988,14,392,47,19,56.86,112.07167573427336,936.7636194299178,1007.05
173,45,190,567,4,31.02,43.87803706737944,105.31028462919268,121.07
868,41,314,386,19,8.87,19.611216343708765,135.35083577719857,153.36
949,6,362,668,16,12.67,24.983335449929378,173.67961178597295,182.59
656,18,268,462,16,70.77,122.83129388534711,1118.2995255401806,1042.43
735,32,314,91,20,70.71,142.5053384147797,1352.7057842963286,1357.1
197,8,272,98,12,44.78,89.7658635939935,522.6074324906467,513.59
642,43,107,284,18,53.22,67.53563316727161,787.9564184117963,906.63
486,32,91,164,5,70.1,145.1900983391195,283.4224036543618,349.4
343,40,413,465,12,32.08,40.302512296578115,364.97417679553286,363.2
497,33,60,73,18,21.71,51.313819553225244,369.00597916416393,382.4
766,44,460,334,19,60.08,90.06485895354363,938.3597743044592,1075.21
891,13,193,226,8,14.32,18.55282919985022,105.0536338059511,111.56
951,40,233,183,2,89.6,152.63623379695073,148.24874138657307,163.88
208,22,66,33,7,65.04,136.57578469122822,369.6556469830178,454.17
429,11,390,352,5,15.56,23.119197897659845,66.83271313482952,73.64
627,11,296,567,6,80.01,184.94353331393768,392.35057359283996,462.68
606,31,429,474,17,51.48,80.45923186199855,827.9044676310198,874.78
228,38,485,153,8,28.54,68.15012765074854,223.67376993566648,215.4
482,47,394,517,14,98.12,122.0325034370742,1244.8622585944977,1241.81
101,29,254,247,16,81.92,107.15291493288149,1245.9910605711386,1270.96
303,16,332,93,14,95.24,116.26034552147152,1245.1010637519014,1217.72
766,38,13,466,6,71.81,129.46544725906932,356.6334999754093,424.74
642,30,361,649,13,22.57,27.12401082308208,271.5395134124364,289.64
34,19,219,277,13,89.88,189.4195365283309,1077.8861892724676,1090.49
83,40,451,344,19,80.48,173.55423638390764,1240.058725759825,1496.66
375,30,317,42,12,89.36,149.69966865306935,895.4445483570225,976.99
793,14,71,343,18,71.96,108.67561232082295,1065.6417980460621,1238.39
893,45,108,231,16,75.05,121.32605225382233,1176.2875984255124,1171.05
65,24,177,464,17,69.62,127.55045227733436,1071.5019846699197,1097.99
846,35,461,300,4,49.67,88.78869614443514,173.57264356673494,189.38
90,6,201,184,3,22.89,36.0491060674253,68.07431425546702,67.87
152,32,78,210,4,20.65,38.75785967852363,76.44260277848574,75.27
955,9,243,356,10,44.57,77.82675076693069,422.3194020037887,431.54
893,15,428,533,1,32.69,66.62462731087788,28.843640527900835,29.63
498,38,341,714,11,67.3,127.14424345551816,673.446277544533,724.52
809,20,88,267,15,33.89,50.65933184720799,444.4913085277641,464.22
362,19,234,171,10,78.13,156.58965381680522,650.1650270362777,706.87
860,46,355,683,18,32.1,71.67270230647117,480.8745946598973,576.25
130,29,134,379,4,8.91,12.829023921849686,32.52140906399827,33.2
152,24,230,553,2,68.23,168.39883025186688,123.73218359257407,136.16
512,50,75,470,4,92.44,222.4249383093508,307.348451234561,347.74
723,19,243,297,18,97.68,240.34039207591198,1671.7914379243375,1640.66
747,29,174,706,19,68.35,91.99980467747835,1163.325795748251,1272.62
316,2,206,633,2,18.25,41.849804836907644,32.45560064545999,34.86
200,38,270,228,3,36.0,79.76406105003599,102.96925460996647,103.77
457,44,344,90,7,7.14,17.625742303255286,43.92665843465718,47.67
967,4,466,683,16,35.19,58.74563456887815,467.0918962289039,540.8
292,23,180,316,14,40.11,99.10301454610877,547.4230793404616,526.32
760,27,412,454,3,25.49,40.152465465407964,73.49795957537026,75.61
856,38,307,89,14,74.22,102.92317985376884,894.2802822882547,978.21
984,38,388,385,17,98.73,129.82824811712297,1480.1765661377585,1521.67
728,37,387,141,9,44.38,64.75196575088393,386.02215294558766,381.68
847,20,428,600,10,57.62,91.90901049468734,525.4115489707962,521.01
158,17,154,656,15,26.33,60.151306089295744,353.2860269596334,386.7
705,42,126,30,10,44.63,60.48083822313841,381.78439247257757,423.62
493,37,224,265,3,61.89,124.79467799219853,166.21329584758078,173.82
18,17,84,596,4,40.45,51.61676906812654,139.78488076596994,157.48
370,27,326,365,5,38.95,49.20667899624906,167.16031660458745,176.31
188,49,49,614,3,53.82,117.24240608404452,146.7255587298395,157.69
309,18,351,715,11,83.55,175.02477051828356,752.8551390615985,890.1
141,34,145,382,19,38.4,84.95808761511861,643.7982380942888,667.13
227,13,408,573,6,14.73,29.422539654181612,85.4001124306642,80.91
720,49,411,117,17,85.38,148.77893049630356,1427.0845175073623,1409.74
492,23,160,708,4,82.79,138.37016702583924,319.04210739545846,328.62
177,46,156,30,20,54.7,118.57856597918546,901.1489996928863,1090.73
233,20,65,215,5,86.4,118.30611410944331,352.3914687268671,394.95
776,28,22,202,4,12.38,16.591212943730994,47.47041851906888,48.4
931,17,23,68,17,61.35,97.67776121328289,836.5027192406479,987.58
211,38,462,205,4,79.33,114.2523647869406,276.1657326089211,314.78
285,38,179,361,3,18.83,26.526283028579684,50.848167624112236,55.06
102,38,391,15,20,27.97,52.79310544026096,527.6050056120033,535.36
5,47,51,220,10,21.32,51.095945464866425,206.859295983454,207.96
451,44,491,110,16,39.81,57.13145436870613,554.7695281664276,610.81
418,8,390,322,13,45.29,61.62610405147741,484.00616924750807,560.17
296,36,370,42,5,52.1,68.09065332370443,234.12243680826685,243.86
320,44,500,455,13,31.94,47.706716549245236,365.99834471937794,398.63
862,31,481,696,14,22.93,38.469060536724875,257.63690235997757,291.15
536,43,347,88,16,68.85,93.2905931169697,968.2648612793203,1035.1
914,11,34,373,19,97.87,241.520624693602,1613.5631410626413,1811.45
239,28,372,512,20,85.18,133.05744900656674,1605.9816100438093,1602.11
821,42,483,410,19,61.4,102.10368703484872,1088.8290799925517,1138.17
151,50,233,111,13,98.81,134.26767978991467,1153.3387370627568,1221.77
102,48,28,70,8,64.7,119.53812716756475,416.849044884361,472.81
157,20,319,639,6,41.35,54.798414205186184,202.27678639354426,240.14
207,19,339,510,17,77.92,143.16440049253174,1129.0344576503862,1297.18
19,49,17,441,11,81.9,191.98698019045273,742.1855836875919,859.51
471,3,17,182,15,34.88,67.09748806509624,508.588143932481,490.57
442,9,160,399,10,89.05,163.29021958936565,731.8809329324448,816.07
586,31,244,576,16,67.71,156.45457940410046,976.4724628842821,1049.27
387,40,347,362,13,30.02,65.93628816824375,334.4089188393825,374.3
858,24,179,598,2,7.67,9.472218331148845,15.006639987900625,13.88
366,27,180,58,11,41.15,84.75303411148505,384.53648916982365,426.77
68,20,59,346,10,61.29,87.07550060363555,556.3191329085485,607.41
582,33,462,432,2,48.79,75.45883603487204,91.64632562323409,96.25
585,25,166,587,19,7.11,9.435278396296221,121.26647312962511,125.86
784,43,174,171,7,36.92,73.81327861910913,225.5320235752745,245.59
998,5,431,549,14,24.17,35.730610975518815,288.6486365263815,326.04
232,40,381,95,10,99.64,212.53400279391718,912.3423504662403,936.82
821,34,244,438,19,37.0,54.48845353130938,674.2686359582739,637.43
